Times;CH1 CH 1;CH2 CH 2;CH3 CH 3;CH4 CH 4
0 ns;1;1;1;1
4.647 800 ms;1;1;0;1
4.648 800 ms;0;0;0;1
4.649 200 ms;0;1;0;1
4.649 800 ms;0;0;0;1
4.650 200 ms;0;1;0;1
4.650 800 ms;0;0;0;1
4.651 200 ms;0;1;0;1
4.651 800 ms;0;0;0;1
4.652 200 ms;0;1;0;1
4.652 800 ms;0;0;0;1
4.653 200 ms;0;1;0;1
4.653 800 ms;0;0;0;1
4.654 200 ms;0;1;0;1
4.654 800 ms;1;0;0;1
4.655 200 ms;1;1;0;1
4.655 800 ms;1;0;0;1
4.656 200 ms;1;1;0;1
4.659 200 ms;0;0;0;1
4.659 800 ms;0;1;0;1
4.660 200 ms;0;0;0;1
4.660 800 ms;0;1;0;1
4.661 200 ms;0;0;0;1
4.661 800 ms;0;1;0;1
4.662 200 ms;0;0;0;1
4.662 800 ms;0;1;0;1
4.663 200 ms;0;0;0;1
4.663 800 ms;0;1;0;1
4.664 200 ms;0;0;0;1
4.664 800 ms;0;1;0;1
4.665 200 ms;0;0;0;1
4.665 800 ms;0;1;0;1
4.666 200 ms;0;0;0;1
4.666 800 ms;0;1;0;1
4.667 800 ms;1;1;0;1
4.668 800 ms;0;1;0;1
4.669 800 ms;0;0;0;1
4.670 200 ms;0;1;0;1
4.670 800 ms;0;0;0;1
4.671 200 ms;0;1;0;1
4.671 800 ms;0;0;0;1
4.672 200 ms;0;1;0;1
4.672 800 ms;0;0;0;1
4.673 200 ms;0;1;0;1
4.673 800 ms;0;0;0;1
4.674 200 ms;0;1;0;1
4.674 800 ms;0;0;0;1
4.675 200 ms;0;1;0;1
4.675 800 ms;0;0;0;1
4.676 200 ms;0;1;0;1
4.676 800 ms;0;0;0;1
4.677 200 ms;0;1;0;1
4.678 200 ms;1;1;0;1
4.679 400 ms;0;1;0;1
4.680 400 ms;0;0;0;1
4.680 800 ms;0;1;0;1
4.681 400 ms;0;0;0;1
4.681 800 ms;0;1;0;1
4.682 400 ms;0;0;0;1
4.682 800 ms;0;1;0;1
4.683 400 ms;0;0;0;1
4.683 800 ms;0;1;0;1
4.684 400 ms;0;0;0;1
4.684 800 ms;0;1;0;1
4.685 400 ms;0;0;0;1
4.685 800 ms;0;1;0;1
4.686 400 ms;0;0;0;1
4.686 800 ms;0;1;0;1
4.687 400 ms;0;0;0;1
4.687 800 ms;0;1;0;1
4.688 800 ms;1;1;0;1
4.689 800 ms;0;1;0;1
4.690 800 ms;1;0;0;1
4.691 400 ms;1;1;0;1
4.691 800 ms;1;0;0;1
4.692 400 ms;1;1;0;1
4.692 800 ms;1;0;0;1
4.693 400 ms;1;1;0;1
4.693 800 ms;1;0;0;1
4.694 400 ms;1;1;0;1
4.694 800 ms;1;0;0;1
4.695 400 ms;1;1;0;1
4.695 800 ms;1;0;0;1
4.696 400 ms;1;1;0;1
4.696 800 ms;1;0;0;1
4.697 400 ms;1;1;0;1
4.697 800 ms;1;0;0;1
4.698 400 ms;1;1;0;1
4.701 400 ms;1;0;0;1
4.702 000 ms;1;1;0;1
4.702 400 ms;1;0;0;1
4.703 000 ms;1;1;0;1
4.703 400 ms;1;0;0;1
4.704 000 ms;1;1;0;1
4.704 400 ms;1;0;0;1
4.705 000 ms;1;1;0;1
4.705 400 ms;1;0;0;1
4.706 000 ms;1;1;0;1
4.706 400 ms;1;0;0;1
4.707 000 ms;1;1;0;1
4.707 400 ms;1;0;0;1
4.708 000 ms;1;1;0;1
4.708 400 ms;1;0;0;1
