Times;CH1 MOSI;CH2 CLK;CH3 CS#;CH4 MISO
0 ns;1;1;1;1
4.860 530 ms;1;1;0;1
4.861 520 ms;1;0;0;1
4.861 530 ms;0;0;0;1
4.862 020 ms;0;1;0;1
4.862 530 ms;0;0;0;1
4.863 020 ms;0;1;0;1
4.863 530 ms;0;0;0;1
4.864 020 ms;0;1;0;1
4.864 530 ms;0;0;0;1
4.865 020 ms;0;1;0;1
4.865 530 ms;0;0;0;1
4.866 020 ms;0;1;0;1
4.866 530 ms;0;0;0;1
4.867 020 ms;0;1;0;1
4.867 530 ms;1;0;0;1
4.868 020 ms;1;1;0;1
4.868 530 ms;1;0;0;1
4.869 020 ms;1;1;0;1
4.872 060 ms;1;0;0;1
4.872 070 ms;0;0;0;1
4.872 560 ms;0;1;0;1
4.873 070 ms;0;0;0;1
4.873 560 ms;0;1;0;1
4.874 070 ms;0;0;0;1
4.874 560 ms;0;1;0;1
4.875 070 ms;0;0;0;1
4.875 560 ms;0;1;0;1
4.876 070 ms;0;0;0;1
4.876 560 ms;0;1;0;1
4.877 070 ms;0;0;0;1
4.877 560 ms;0;1;0;1
4.878 070 ms;0;0;0;1
4.878 560 ms;0;1;0;1
4.879 070 ms;0;0;0;1
4.879 560 ms;0;1;0;1
4.880 570 ms;1;1;0;1
4.881 610 ms;0;1;0;1
4.882 610 ms;0;0;0;1
4.883 100 ms;0;1;0;1
4.883 610 ms;0;0;0;1
4.884 100 ms;0;1;0;1
4.884 610 ms;0;0;0;1
4.885 100 ms;0;1;0;1
4.885 610 ms;0;0;0;1
4.886 100 ms;0;1;0;1
4.886 610 ms;0;0;0;1
4.887 100 ms;0;1;0;1
4.887 610 ms;0;0;0;1
4.888 100 ms;0;1;0;1
4.888 610 ms;0;0;0;1
4.889 100 ms;0;1;0;1
4.889 610 ms;0;0;0;1
4.890 100 ms;0;1;0;1
4.891 110 ms;1;1;0;1
4.892 150 ms;0;1;0;1
4.893 150 ms;0;0;0;1
4.893 650 ms;0;1;0;1
4.894 150 ms;0;0;0;1
4.894 650 ms;0;1;0;1
4.895 150 ms;0;0;0;1
4.895 650 ms;0;1;0;1
4.896 150 ms;0;0;0;1
4.896 650 ms;0;1;0;1
4.897 150 ms;0;0;0;1
4.897 650 ms;0;1;0;1
4.898 150 ms;0;0;0;1
4.898 650 ms;0;1;0;1
4.899 150 ms;0;0;0;1
4.899 650 ms;0;1;0;1
4.900 150 ms;0;0;0;1
4.900 650 ms;0;1;0;1
4.901 650 ms;1;1;0;1
4.902 700 ms;0;1;0;1
4.903 700 ms;1;0;0;1
4.904 190 ms;1;1;0;1
4.904 690 ms;1;0;0;1
4.905 190 ms;1;1;0;1
4.905 690 ms;1;0;0;1
4.906 190 ms;1;1;0;1
4.906 690 ms;1;0;0;1
4.907 190 ms;1;1;0;1
4.907 690 ms;1;0;0;1
4.908 190 ms;1;1;0;1
4.908 690 ms;1;0;0;1
4.909 190 ms;1;1;0;1
4.909 690 ms;1;0;0;1
4.910 190 ms;1;1;0;1
4.910 690 ms;1;0;0;1
4.911 190 ms;1;1;0;1
4.914 230 ms;1;0;0;1
4.914 730 ms;1;1;0;1
4.915 230 ms;1;0;0;1
4.915 730 ms;1;1;0;1
4.916 230 ms;1;0;0;1
4.916 730 ms;1;1;0;1
4.917 230 ms;1;0;0;1
4.917 730 ms;1;1;0;1
4.918 230 ms;1;0;0;1
4.918 730 ms;1;1;0;1
4.919 230 ms;1;0;0;1
4.919 730 ms;1;1;0;1
4.920 230 ms;1;0;0;1
4.920 730 ms;1;1;0;1
4.921 230 ms;1;0;0;1
4.921 730 ms;1;1;0;1
4.924 770 ms;1;0;0;1
4.925 270 ms;1;1;0;1
4.925 770 ms;1;0;0;1
4.926 270 ms;1;1;0;1
4.926 770 ms;1;0;0;1
4.927 270 ms;1;1;0;1
4.927 770 ms;1;0;0;1
4.928 270 ms;1;1;0;1
4.928 770 ms;1;0;0;1
4.929 270 ms;1;1;0;1
4.929 770 ms;1;0;0;1
4.930 270 ms;1;1;0;1
4.930 770 ms;1;0;0;1
4.931 270 ms;1;1;0;1
4.931 770 ms;1;0;0;1
4.932 270 ms;1;1;0;1
4.935 320 ms;1;0;0;1
4.935 810 ms;1;1;0;1
4.936 320 ms;1;0;0;1
4.936 810 ms;1;1;0;1
4.937 320 ms;1;0;0;1
4.937 810 ms;1;1;0;1
4.938 320 ms;1;0;0;1
4.938 810 ms;1;1;0;1
4.939 320 ms;1;0;0;1
4.939 810 ms;1;1;0;1
4.940 320 ms;1;0;0;1
4.940 810 ms;1;1;0;1
4.941 320 ms;1;0;0;1
4.941 810 ms;1;1;0;1
4.942 320 ms;1;0;0;1
4.942 810 ms;1;1;0;1
4.945 860 ms;1;0;0;1
4.946 350 ms;1;1;0;1
4.946 860 ms;1;0;0;1
4.947 350 ms;1;1;0;1
4.947 860 ms;1;0;0;1
4.948 350 ms;1;1;0;1
4.948 860 ms;1;0;0;1
4.949 350 ms;1;1;0;1
4.949 860 ms;1;0;0;1
4.950 350 ms;1;1;0;1
4.950 860 ms;1;0;0;1
4.951 350 ms;1;1;0;1
4.951 860 ms;1;0;0;1
4.952 350 ms;1;1;0;1
4.952 860 ms;1;0;0;1
4.953 350 ms;1;1;0;1
4.956 400 ms;1;0;0;1
4.956 890 ms;1;1;0;1
4.957 400 ms;1;0;0;1
4.957 890 ms;1;1;0;1
4.958 400 ms;1;0;0;1
4.958 890 ms;1;1;0;1
4.959 400 ms;1;0;0;1
4.959 890 ms;1;1;0;1
4.960 400 ms;1;0;0;1
4.960 890 ms;1;1;0;1
4.961 400 ms;1;0;0;1
4.961 890 ms;1;1;0;1
4.962 400 ms;1;0;0;1
4.962 890 ms;1;1;0;1
4.963 400 ms;1;0;0;1
4.963 890 ms;1;1;0;1
4.966 940 ms;1;0;0;1
4.967 440 ms;1;1;0;1
4.967 940 ms;1;0;0;1
4.968 440 ms;1;1;0;1
4.968 940 ms;1;0;0;1
4.969 440 ms;1;1;0;1
4.969 940 ms;1;0;0;1
4.970 440 ms;1;1;0;1
4.970 940 ms;1;0;0;1
4.971 440 ms;1;1;0;1
4.971 940 ms;1;0;0;1
4.972 440 ms;1;1;0;1
4.972 940 ms;1;0;0;1
